Festival_Name,Location,Country,Attendace_Numbers,Age_Range,Visitor_Demographics,Economic_Impact (€), Music_Genre
Glastonbury Festival,Somerset, UK,200000,18-35, Music Enthusiasts,116000000,Various
Tomorrowland,Boom, Belgium,400000,18-30, EDM Fans,150000000,EDM
Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,130000000,Various
Rock am Ring,Nürburg, Germany,90000,20-40, Rock Fans,80000000,Rock
Roskilde Festival,Roskilde, Denmark,130000,18-40, Alternative Music Lovers,9100000,Alternative
Reading Festival,Reading, UK,100000,16-35, Rock and Indie Fans,69600000,Rock/Indie
Paris Jazz Festival,Paris, France,60000,30-60, Jazz Enthusiasts,20000000,Jazz
Benicàssim Festival,Benicàssim, Spain,40000,18-35, Pop and Indie Fans,15000000,Pop/Indie
Exit Festival,Novi Sad, Serbia,200000,18-30, Electronic and Rock Fans,50000000,Electronic/Rock
Primavera Sound,Barcelona, Spain,200000,20-40, Indie and Electronic Music Lovers,70000000,Indie/Electronic
Lollapalooza Berlin,Berlin, Germany,100000,18-35, Alternative Music Fans,40000000,Alternative
Pukkelpop,Hasselt, Belgium,200000,18-35, Diverse Music Genres,60000000,Various
Arenal Sound,Burriana, Spain,150000,16-30, Pop and Rock Fans,30000000,Pop/Rock
Dour Festival,Dour, Belgium,200000,18-35, Rock and Electronic Fans,55000000,Rock/Electronic
Rock Werchter,Werchter, Belgium,150000,18-40, Rock Enthusiasts,85000000,Rock
Sonar Festival,Barcelona, Spain,100000,20-40, Electronic Music Fans,35000000,Electronic
Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,45000000,Metal
T in the Park,Strathallan Castle, UK,80000,18-35, Rock and Pop Fans,46400000,Rock/Pop
Mysteryland,Haarlem, Netherlands,90000,18-30, EDM Fans,25000000,EDM
Kendal Calling,Kendal, UK,40000,18-35, Indie and Alternative Music Fans,17400000,Indie/Alternative
Latitude Festival,Suffolk, UK,45000,18-40, Diverse Music and Arts Fans,23200000,Various
Nass Festival,Shepton Mallet, UK,30000,18-35, Music and Action Sports Fans,13920000,Various
Green Man Festival,Brecon Beacons, UK,25000,18-40, Indie and Folk Music Fans,11600000,Indie/Folk
Summer Breeze,Feucht, Germany,40000,20-45, Metal and Hardcore Fans,30000000,Metal/Hardcore
Parklife Festival,Manchester, UK,80000,18-30, Electronic and Indie Music Fans,29000000,Electronic/Indie
Electric Daisy Carnival,London, UK,60000,18-35, EDM Fans,34800000,EDM
Splendour in the Grass,Bendigo, Australia,40000,18-35, Indie and Electronic Fans,12200000,Indie/Electronic
Creamfields,Cheshire, UK,70000,18-35, EDM Fans,40600000,EDM
Montreux Jazz Festival,Montreux, Switzerland,20000,25-60, Jazz and Blues Fans,10400000,Jazz/Blues
Nyege Nyege Festival,Jinja, Uganda,20000,18-40, Afrobeat and Electronic Fans,4550000,Afrobeat/Electronic
Boogaloo Festival,Valencia, Spain,35000,18-40, Indie and Electronic Fans,18000000,Indie/Electronic
Sundance Festival,Park City, USA,47000,25-50, Film and Music Fans,22750000,Various
Mad Cool Festival,Madrid, Spain,80000,18-35, Rock and Alternative Fans,45000000,Rock/Alternative
Heineken Open'er,Gdynia, Poland,60000,18-35, Diverse Music Genres,6600000,Various
Gurten Festival,Bern, Switzerland,30000,18-40, Pop and Rock Fans,8320000,Pop/Rock
Lovebox Festival,London, UK,45000,18-35, Electronic and Urban Music Fans,25520000,Electronic/Urban
Ejekt Festival,Athens, Greece,30000,18-35, Rock and Electronic Fans,12000000,Rock/Electronic
Ruisrock,Turku, Finland,35000,18-35, Pop and Rock Fans,10000000,Pop/Rock
Melt! Festival,Großpösna, Germany,50000,18-35, Electronic and Indie Fans,25000000,Electronic/Indie
South West Four,London, UK,30000,18-35, Electronic and Dance Fans,17400000,Electronic/Dance
Boomtown Fair,Winchester, UK,60000,18-40, Diverse Music and Arts Fans,46400000,Various
Coachella Valley Music and Arts Festival,Indio, USA,125000,18-40, Various Music Fans,45500000,Various
Lollapalooza Paris,Paris, France,75000,18-35, Rock and Electronic Fans,30000000,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,15000000,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,1000000,Jazz
Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,36400000,Various
Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,7280000,Classical
